116.7296391000,-26.8561528700,300.0
116.7300780000,-26.8561286400,300.0
116.7304761000,-26.8557565000,300.0
116.7301177000,-26.8555808500,300.0
116.7296813000,-26.8554553000,300.0
116.7300235000,-26.8551086500,300.0
116.7478854000,-26.8808053000,300.0
116.7473328000,-26.8806223400,300.0
116.7478724000,-26.8803510300,300.0
116.7472298000,-26.8802148100,300.0
116.7483830000,-26.8799796500,300.0
116.7474901000,-26.8798828700,300.0
116.6934539000,-26.8637163500,300.0
116.6936577000,-26.8633407100,300.0
116.6941076000,-26.8633052600,300.0
116.6932834000,-26.8631358200,300.0
116.6937212000,-26.8628239500,300.0
116.6931586000,-26.8627504000,300.0
